epoch,step,test/rmse,train/loss,val/rmse,val_loss
0,49,,0.006426000967621803,,
0,99,,0.006111934315413237,,
0,149,,0.0059600346721708775,,
0,199,,0.005248122848570347,,
0,249,,0.005398700479418039,,
0,299,,0.005190557334572077,,
0,349,,0.005245373118668795,,
0,399,,0.00541933998465538,,
0,449,,0.005501570645719767,,
0,499,,0.005482857581228018,,
0,549,,0.005091697443276644,,
0,599,,0.005035171285271645,,
0,649,,0.004756192211061716,,
0,699,,0.00524776941165328,,
0,749,,0.004922244232147932,,
0,760,,,0.06920583546161652,0.06920583546161652
1,799,,0.004924919456243515,,
1,849,,0.004499327391386032,,
1,899,,0.004850068595260382,,
1,949,,0.004776602610945702,,
1,999,,0.004584774374961853,,
1,1049,,0.004235263913869858,,
1,1099,,0.004450758453458548,,
1,1149,,0.004208048339933157,,
1,1199,,0.00477606151252985,,
1,1249,,0.004384026862680912,,
1,1299,,0.004647204652428627,,
1,1349,,0.004619551822543144,,
1,1399,,0.004077672027051449,,
1,1449,,0.004539866931736469,,
1,1499,,0.004119274206459522,,
1,1521,,,0.06583449989557266,0.06583449989557266
2,1549,,0.004118048585951328,,
2,1599,,0.004318762570619583,,
2,1649,,0.004212868399918079,,
2,1699,,0.004022897221148014,,
2,1749,,0.0040219854563474655,,
2,1799,,0.004000282380729914,,
2,1849,,0.00401870533823967,,
2,1899,,0.004109497647732496,,
2,1949,,0.004167870152741671,,
2,1999,,0.0038000193890184164,,
2,2049,,0.0038634648080915213,,
2,2099,,0.0038473757449537516,,
2,2149,,0.0033656940795481205,,
2,2199,,0.0041483426466584206,,
2,2249,,0.003701371606439352,,
2,2282,,,0.06143488734960556,0.06143488734960556
3,2283,0.09913311153650284,,,
